freq_low_mhz,freq_high_mhz,country_code,region,service,status,application,typical_devices,modulation,power_limit,channel_spacing_khz,regulatory_ref,notes,verified,verification_status
290.0,300.0,FR,ITU Region 1 / CEPT,FIXED / MOBILE (Government/Military),Allocated,French military UHF tactical; NATO SATCOM; Météo-France radiosonde tracking (secondary),"Thales SYNAPS, Thales PR4G, Modem Systèmes SATCOM terminals","FM, HAVE QUICK, DAMA",N/A (military),25,"ANFR TNRBF, ITU RR 5.254",Military exclusive with secondary meteorological aids allocation.,True,
290.0,300.0,UK,ITU Region 1 / CEPT,FIXED / MOBILE (Government/Military),Allocated,UK MoD UHF tactical; NATO SATCOM; Met Office radiosonde tracking (secondary),"Bowman/Morpheus radio system, Harris RF-7800 series","FM, HAVE QUICK II",N/A (military),25,"Ofcom UKPFA, Crown use",MoD exclusive with secondary meteorological aids.,True,
290.0,300.0,DE,ITU Region 1 / CEPT,FIXED / MOBILE (Government/Military),Allocated,Bundeswehr UHF tactical; NATO SATCOM,"Rohde & Schwarz MR3000H, various NATO-standard radios","FM, HAVE QUICK",N/A (military),25,"BNetzA Frequenzplan, FreqBZPV",Military exclusive.,True,
290.0,300.0,CN,ITU Region 3,FIXED / MOBILE (Military),Allocated,PLA UHF communications; military satellite downlinks,PLA-standard UHF radios (domestic manufacture),"FM, proprietary military waveforms",N/A (military),25,MIIT Radio Regulations of PRC,Military exclusive.,False,
290.0,300.0,RU,ITU Region 1,FIXED / MOBILE (Military),Allocated,Russian military UHF; MILSATCOM downlinks (Meridian constellation),R-168 family tactical radios,"FM, Russian ECCM waveforms",N/A (military),25,GRFC Table of Frequency Allocations,Military exclusive.,False,
290.0,300.0,ES,ITU Region 1 / CEPT,FIXED / MOBILE (Government/Military),Allocated,Spanish military UHF; NATO SATCOM,Harris/Thales NATO-interoperable UHF radios,"FM, HAVE QUICK",N/A (military),25,"CNAF, Min. Defensa",Military exclusive.,True,
290.0,300.0,IT,ITU Region 1 / CEPT,FIXED / MOBILE (Government/Military),Allocated,Italian military UHF; SICRAL SATCOM; NATO SATCOM pool,"Leonardo DRS radios, SICRAL terminals","FM, HAVE QUICK, DAMA",N/A (military),25,"PNRF, MIMIT / Min. Difesa",Military exclusive. SICRAL satellites provide dedicated Italian UHF MILSATCOM.,True,
290.0,300.0,CH,ITU Region 1 / CEPT,FIXED / MOBILE (Government/Military),Allocated,Swiss Armed Forces UHF tactical,Thales PR4G (Swiss Army variant),"FM, ECCM",N/A (military),25,BAKOM Frequenzzuweisungsplan,Military exclusive.,True,
300.0,312.0,US,ITU Region 2 / USA,MILITARY FIXED / MOBILE / RADIOLOCATION,Allocated,NATO UHF MILSATCOM (MUOS uplink band 300-320 MHz); military LOS UHF; military radiolocation; aeronautical telemetry (IRIG-compatible),"L3Harris AN/PRC-163 (MUOS-capable), Lockheed Martin MUOS ground terminals, AN/TRC-170 troposcatter","Wideband CDMA (MUOS 5 MHz channels), narrowband DAMA TDMA 25 kHz, IRIG telemetry",N/A (military),25,"NTIA Manual, 47 CFR 2.106 footnote G27, US228","Federal exclusive. MUOS uses five 5 MHz wideband channels centered near 304, 308, 312, 316, 320 MHz for uplink. Secondary radiolocation also allocated.",True,
300.0,312.0,FR,ITU Region 1 / CEPT,FIXED / MOBILE (Government/Military) / RADIOLOCATION,Allocated,French military UHF tactical and SATCOM; meteorological radiolocation (wind profiler radars),"Thales SYNAPS, Degreane Horizon meteorological radars (secondary)","FM, HAVE QUICK, pulsed radar (radiolocation)",N/A (military primary); wind profilers per CEPT ERC/REC 70-03,25,"ANFR TNRBF, ITU RR 5.149 (radiolocation secondary)","Military primary with secondary radiolocation. Meteorological wind profiler radars operate near 300-310 MHz in some European countries. [FACTCHECK: European wind profilers operate at 482 MHz (DWD Lindenberg) or 1290 MHz, not 300 MHz. ITU footnote 5.291A applies (not 5.149 which is radio astronomy).]",True,
300.0,312.0,UK,ITU Region 1 / CEPT,FIXED / MOBILE (Government/Military),Allocated,UK MoD UHF tactical; NATO SATCOM; Met Office wind profiler radars (secondary radiolocation),"Bowman/Morpheus system, Met Office boundary-layer wind profilers","FM, HAVE QUICK II, pulsed Doppler (wind profiler)",N/A (military),25,"Ofcom UKPFA, Crown use exemption","MoD exclusive primary. Wind profilers operate on secondary basis. [FACTCHECK: European wind profilers operate at 482 MHz (DWD Lindenberg) or 1290 MHz, not 300 MHz. ITU footnote 5.291A applies (not 5.149 which is radio astronomy).]",True,
300.0,312.0,DE,ITU Region 1 / CEPT,FIXED / MOBILE (Government/Military),Allocated,Bundeswehr UHF; NATO SATCOM; DWD wind profiler radars (secondary),"R&S MR3000 series, DWD 482 MHz class wind profilers (some at 300 MHz)","FM, HAVE QUICK",N/A (military),25,BNetzA Frequenzplan,"Military exclusive primary. [FACTCHECK: European wind profilers operate at 482 MHz (DWD Lindenberg) or 1290 MHz, not 300 MHz. ITU footnote 5.291A applies (not 5.149 which is radio astronomy).]",True,
300.0,312.0,CN,ITU Region 3,FIXED / MOBILE (Military) / RADIOLOCATION,Allocated,PLA UHF military communications; military radiolocation,PLA-standard equipment (no public model numbers),"FM, proprietary",N/A (military),25,MIIT Radio Regulations of PRC,Military exclusive.,False,
300.0,312.0,RU,ITU Region 1,FIXED / MOBILE (Military) / RADIOLOCATION,Allocated,Russian military UHF; MILSATCOM; military radiolocation,"R-168 family, Russian military SATCOM terminals","FM, ECCM",N/A (military),25,GRFC Table,Military exclusive.,False,
300.0,312.0,ES,ITU Region 1 / CEPT,FIXED / MOBILE (Government/Military),Allocated,Spanish military UHF; NATO SATCOM,Harris/Thales NATO-standard UHF radios,"FM, HAVE QUICK",N/A (military),25,CNAF,Military exclusive.,True,
300.0,312.0,IT,ITU Region 1 / CEPT,FIXED / MOBILE (Government/Military),Allocated,Italian military UHF; SICRAL SATCOM; NATO SATCOM,"Leonardo radios, SICRAL terminals","FM, HAVE QUICK, DAMA",N/A (military),25,"PNRF, Min. Difesa",Military exclusive.,True,
300.0,312.0,CH,ITU Region 1 / CEPT,FIXED / MOBILE (Government/Military),Allocated,Swiss Armed Forces UHF,Thales PR4G,"FM, ECCM",N/A (military),25,BAKOM Frequenzzuweisungsplan,Military exclusive.,True,
312.0,315.0,US,ITU Region 2 / USA,MILITARY FIXED / MOBILE + Part 15 SRD (secondary),Shared,"Federal military UHF primary; FCC Part 15.231 low-power periodic devices secondary: TPMS (tire pressure monitoring), RKE (remote keyless entry), garage door openers","TPMS: Schrader/Sensata 315 MHz sensors (OEM on Toyota, Honda, GM, Ford); RKE: NXP/Microchip 315 MHz key fobs; Chamberlain/LiftMaster 315 MHz garage openers; Honeywell 5800 series 345 MHz security sensors","OOK, ASK, FSK (SRD devices); military FM/ECCM (primary)","SRD: FCC Part 15.231 — periodic operation, field strength limit 6,000 uV/m at 3m (for periodic transmitters at 315 MHz); no duty cycle limit but must cease within 5 seconds",,"FCC 47 CFR Part 15.231 (periodic devices), 47 CFR 2.106 G27 (federal primary)","315 MHz is the dominant TPMS/RKE frequency in the US, Japan, and South Korea. Common center frequencies: 314.35 MHz (Toyota/Lexus), 315.00 MHz (GM, Honda, Hyundai), 313.85 MHz (some Honda). Europe does NOT use 315 MHz for TPMS/RKE — European vehicles use 433.92 MHz instead.",True,
312.0,315.0,FR,ITU Region 1 / CEPT,FIXED / MOBILE (Government/Military),Allocated,Military UHF communications (primary). NOTE: 315 MHz is NOT used for TPMS/RKE in France — French/European vehicles use 433.92 MHz ISM band for car key fobs and TPMS.,Military radios only. No civilian 315 MHz SRD devices in France.,Military FM,No civilian SRD allocation at 315 MHz in France,25,ANFR TNRBF — 315 MHz has NO SRD allocation in Region 1 (Europe). Car keys/TPMS use 433.05-434.79 MHz per ERC/REC 70-03,CRITICAL CORRECTION: The original baseline data listing '315 MHz ISM' for European countries is INCORRECT. 315 MHz has no ISM or SRD designation in ITU Region 1. European vehicles universally use 433.92 MHz for RKE and TPMS. 315 MHz TPMS/RKE is a Region 2 (Americas) and some Region 3 (Asia) phenomenon only.,True,
312.0,315.0,UK,ITU Region 1 / CEPT,FIXED / MOBILE (Government/Military),Allocated,Military UHF (primary). 315 MHz is NOT used for TPMS/RKE in UK — UK vehicles use 433.92 MHz.,Military radios only. UK car key fobs operate at 433.92 MHz.,Military FM,No civilian SRD at 315 MHz,25,"Ofcom UKPFA, IR 2030 (SRD at 433 MHz, not 315 MHz)",315 MHz has no SRD allocation in UK. All automotive RKE/TPMS uses 433.92 MHz per Ofcom IR 2030 and ERC/REC 70-03.,True,
312.0,315.0,DE,ITU Region 1 / CEPT,FIXED / MOBILE (Government/Military),Allocated,Military UHF (primary). 315 MHz NOT used for automotive SRD in Germany — German vehicles use 433.92 MHz.,Military radios only. German car keys at 433.92 MHz.,Military FM,No civilian SRD at 315 MHz,25,"BNetzA Frequenzplan, BNetzA Vfg 76/2003 (SRD at 433 MHz only)",No SRD allocation at 315 MHz in Germany. Automotive RKE/TPMS exclusively at 433.92 MHz.,True,
312.0,315.0,CN,ITU Region 3,"FIXED / MOBILE (Military) + SRD (secondary, limited)",Shared,"Military primary. Some 315 MHz TPMS/RKE devices are used in China (imported vehicles from US/Japan), but 433.92 MHz is also common for domestic market. China allows both frequencies for TPMS.","TPMS sensors at 315 MHz on imported US/Japanese vehicles; 433.92 MHz for domestic brands (BYD, Geely, etc.); NXP/Microchip SRD ICs","OOK, ASK, FSK (SRD); military FM (primary)",SRRC Type Approval: 10 mW ERP max for 315 MHz SRD,,"MIIT/SRRC Micro-Power Short Range Device regulations (2005), MIIT Radio Regulations","China uses BOTH 315 MHz and 433.92 MHz for automotive TPMS/RKE, depending on vehicle origin. Japanese and US-origin models typically use 315 MHz.",True,
312.0,315.0,RU,ITU Region 1,FIXED / MOBILE (Military),Allocated,Military UHF. No 315 MHz SRD allocation in Russia. Russian-market vehicles use 433.92 MHz for RKE/TPMS.,Military radios only,Military FM,No civilian SRD at 315 MHz,25,GRFC Table,No SRD at 315 MHz in Russia. Automotive RKE/TPMS uses 433.92 MHz.,True,
312.0,315.0,ES,ITU Region 1 / CEPT,FIXED / MOBILE (Government/Military),Allocated,Military UHF. No 315 MHz SRD in Spain — 433.92 MHz used for automotive RKE/TPMS.,Military radios only,Military FM,No civilian SRD at 315 MHz,25,CNAF,No SRD at 315 MHz in Spain.,True,
312.0,315.0,IT,ITU Region 1 / CEPT,FIXED / MOBILE (Government/Military),Allocated,Military UHF. No 315 MHz SRD in Italy — 433.92 MHz used for automotive RKE/TPMS.,Military radios only,Military FM,No civilian SRD at 315 MHz,25,"PNRF, MIMIT",No SRD at 315 MHz in Italy.,True,
312.0,315.0,CH,ITU Region 1 / CEPT,FIXED / MOBILE (Government/Military),Allocated,Military UHF. No 315 MHz SRD in Switzerland — 433.92 MHz used for automotive RKE/TPMS.,Military radios only,Military FM,No civilian SRD at 315 MHz,25,BAKOM Frequenzzuweisungsplan,No SRD at 315 MHz in Switzerland.,True,
315.0,322.0,US,ITU Region 2 / USA,MILITARY FIXED / MOBILE,Allocated,Federal military UHF tactical; MUOS uplink continuation; military SATCOM,"L3Harris AN/PRC-163, AN/PRC-117G, MUOS terminals","MUOS wideband CDMA, narrowband DAMA, SINCGARS ECCM",N/A (military),25,"NTIA Manual, 47 CFR 2.106 G27",Federal Government exclusive. Continuation of MUOS uplink band.,True,
315.0,322.0,FR,ITU Region 1 / CEPT,FIXED / MOBILE (Government/Military),Allocated,French military UHF tactical,"Thales SYNAPS, PR4G","FM, HAVE QUICK",N/A (military),25,ANFR TNRBF,Military exclusive.,True,
315.0,322.0,UK,ITU Region 1 / CEPT,FIXED / MOBILE (Government/Military),Allocated,UK MoD UHF tactical,Bowman/Morpheus system,"FM, HAVE QUICK II",N/A (military),25,"Ofcom UKPFA, Crown use",MoD exclusive.,True,
315.0,322.0,DE,ITU Region 1 / CEPT,FIXED / MOBILE (Government/Military),Allocated,Bundeswehr UHF tactical,R&S MR3000 series,"FM, HAVE QUICK",N/A (military),25,BNetzA Frequenzplan,Military exclusive.,True,
315.0,322.0,CN,ITU Region 3,FIXED / MOBILE (Military),Allocated,PLA UHF military communications,PLA-standard UHF radios,"FM, proprietary",N/A (military),25,MIIT Radio Regulations,Military exclusive.,False,
315.0,322.0,RU,ITU Region 1,FIXED / MOBILE (Military),Allocated,Russian military UHF,R-168 family,"FM, ECCM",N/A (military),25,GRFC Table,Military exclusive.,False,
315.0,322.0,ES,ITU Region 1 / CEPT,FIXED / MOBILE (Government/Military),Allocated,Spanish military UHF,NATO-standard UHF radios,"FM, HAVE QUICK",N/A (military),25,CNAF,Military exclusive.,True,
315.0,322.0,IT,ITU Region 1 / CEPT,FIXED / MOBILE (Government/Military),Allocated,Italian military UHF,Leonardo radios,"FM, HAVE QUICK",N/A (military),25,PNRF,Military exclusive.,True,
315.0,322.0,CH,ITU Region 1 / CEPT,FIXED / MOBILE (Government/Military),Allocated,Swiss Armed Forces UHF,Thales PR4G,FM,N/A (military),25,BAKOM Frequenzzuweisungsplan,Military exclusive.,True,
322.0,328.6,US,ITU Region 2 / USA,MILITARY FIXED / MOBILE + RADIO ASTRONOMY (secondary),Shared,"Federal military UHF (primary); Radio astronomy observation of Deuterium line at 327.4 MHz (secondary, protected under ITU RR 5.149). NRAO Green Bank Observatory, VLA observe in this band.","Military: AN/PRC-117G, AN/PRC-152A; Radio astronomy: NRAO Green Bank Telescope (GBT), Very Large Array (VLA) receivers",Military FM; radio astronomy passive (receive-only),N/A (military primary); radio astronomy receive-only,25,"NTIA Manual, 47 CFR 2.106, ITU RR 5.149 (radio astronomy protection), US74","327.4 MHz is the Deuterium (D) hyperfine transition line, used in cosmological studies. NRQZ (National Radio Quiet Zone) around Green Bank provides additional protection. Military is primary user; radio astronomy operates on secondary/protected basis.",True,
322.0,328.6,FR,ITU Region 1 / CEPT,FIXED / MOBILE (Government/Military) + RADIO ASTRONOMY (secondary),Shared,Military UHF (primary); Radio astronomy at Nancay Radio Observatory (Station de radioastronomie de Nancay) — Deuterium line 327.4 MHz observations,"Military radios (Thales); Nancay decametric array and NenuFAR low-frequency array (primary observation range lower, but 327 MHz used for pulsar timing)",Military FM; radio astronomy passive (receive-only),N/A,25,"ANFR TNRBF, ITU RR 5.149, ECA (European Common Allocation) footnote EU2",Nancay observatory in Sologne operates a large decametric array. 327.4 MHz deuterium line observations. Protected zone around Nancay per French national regulations.,True,
322.0,328.6,UK,ITU Region 1 / CEPT,FIXED / MOBILE (Government/Military) + RADIO ASTRONOMY (secondary),Shared,Military UHF (primary); Radio astronomy at Jodrell Bank Observatory — 327 MHz pulsar and transient observations,"Military: Bowman; Radio astronomy: Jodrell Bank Lovell Telescope (76m), e-MERLIN array",Military FM; radio astronomy passive,N/A,25,"Ofcom UKPFA, ITU RR 5.149, Jodrell Bank Radio Telescope Consultation Zone (SI 2003/419)","Jodrell Bank has a statutory consultation zone (established by UK SI 2003/419, updated 2010) providing protection from interfering transmissions. 327 MHz observations of pulsars and hydrogen/deuterium.",True,
322.0,328.6,DE,ITU Region 1 / CEPT,FIXED / MOBILE (Government/Military) + RADIO ASTRONOMY (secondary),Shared,Military UHF (primary); Radio astronomy at Effelsberg Radio Observatory (MPIfR) — 327 MHz observations,Military: Bundeswehr UHF radios; Radio astronomy: Effelsberg 100-m Radio Telescope (Max-Planck-Institut fur Radioastronomie),Military FM; radio astronomy passive,N/A,25,"BNetzA Frequenzplan, ITU RR 5.149",Effelsberg 100-m telescope near Bad Munstereifel conducts observations at 327 MHz. Protection zone around observatory.,True,
322.0,328.6,CN,ITU Region 3,FIXED / MOBILE (Military) + RADIO ASTRONOMY (secondary),Shared,Military UHF (primary); Radio astronomy — FAST (Five-hundred-meter Aperture Spherical Telescope) in Guizhou province observes at frequencies including 327 MHz band,"Military: PLA UHF radios; Radio astronomy: FAST 500-m telescope (Pingtang, Guizhou)",Military FM; radio astronomy passive,N/A,25,"MIIT Radio Regulations, ITU RR 5.149, Guizhou Provincial Radio Quiet Zone regulations",FAST (completed 2016) is the world's largest filled-aperture radio telescope. A 5-km core radio quiet zone and 30-km electro-magnetic wave environment protection zone exist around FAST.,True,
322.0,328.6,RU,ITU Region 1,FIXED / MOBILE (Military) + RADIO ASTRONOMY (secondary),Shared,"Military UHF (primary); Radio astronomy — RATAN-600 (Special Astrophysical Observatory, Caucasus) and Pushchino Radio Astronomy Observatory","Military: Russian UHF radios; Radio astronomy: RATAN-600 (576-m ring radio telescope), Pushchino BSA array",Military FM; radio astronomy passive,N/A,25,"GRFC Table, ITU RR 5.149",RATAN-600 operates at multiple frequencies including the UHF range. Pushchino BSA (Big Scanning Antenna) array near Moscow also conducts low-frequency observations.,True,
322.0,328.6,ES,ITU Region 1 / CEPT,FIXED / MOBILE (Government/Military) + RADIO ASTRONOMY (secondary),Shared,"Military UHF (primary); Radio astronomy — Yebes Observatory (IGN, Guadalajara) conducts observations including UHF bands",Military: NATO-standard UHF radios; Radio astronomy: Yebes 40-m telescope,Military FM; radio astronomy passive,N/A,25,"CNAF, ITU RR 5.149",Yebes Observatory operated by Instituto Geografico Nacional. 40-m telescope primarily for VLBI but covers UHF range.,True,
322.0,328.6,IT,ITU Region 1 / CEPT,FIXED / MOBILE (Government/Military) + RADIO ASTRONOMY (secondary),Shared,"Military UHF (primary); Radio astronomy — Medicina Radio Observatory (INAF, Bologna) and Noto (Sicily) conduct observations at 327 MHz","Military: Italian military radios; Radio astronomy: Medicina 32-m telescope, Northern Cross array (Medicina)",Military FM; radio astronomy passive,N/A,25,"PNRF, MIMIT, ITU RR 5.149","Medicina Northern Cross is a large T-shaped transit array operating at 408 MHz primarily, but the 32-m VLBI antenna covers 327 MHz. INAF operates the Italian radio astronomy network.",True,
322.0,328.6,CH,ITU Region 1 / CEPT,FIXED / MOBILE (Government/Military) + RADIO ASTRONOMY (secondary),Shared,"Swiss military UHF (primary); Radio astronomy secondary (no major Swiss observatory at 327 MHz, but ITU protection applies)",Military: Swiss Armed Forces UHF radios,Military FM; radio astronomy passive,N/A,25,"BAKOM Frequenzzuweisungsplan, ITU RR 5.149",Switzerland has no major 327 MHz radio astronomy facility but respects ITU 5.149 protection for radio astronomy.,True,
328.6,335.4,US,ITU Region 2 / USA,AERONAUTICAL RADIONAVIGATION (ILS Glide Path),Allocated,Instrument Landing System (ILS) Glide Path/Glide Slope transmitters for precision runway approach. 40 ILS channels between 329.15-335.00 MHz paired with localizer frequencies 108.10-111.95 MHz.,"Thales TLS 420/430 Glide Slope, Indra Navia NORMARC 7000 series, Collins Aerospace GLS-800, Honeywell airborne ILS receivers",AM DSB 90 Hz / 150 Hz tone modulation (ILS standard per ICAO Annex 10),ILS Glide Slope: typically 2-20 W radiated (Category I/II/III dependent); field strength defined by ICAO standards,50,"FCC 47 CFR 87.187, ICAO Annex 10 Volume I Chapter 3.1, FAA Order 6750.16E",ILS Glide Path is an ICAO-mandated worldwide allocation. 40 channels from 329.15 MHz to 335.00 MHz with 150 kHz spacing. Each GS frequency is paired with a Localizer frequency. Category III ILS provides autoland capability. This is an exclusively aeronautical band — no other users permitted.,True,
328.6,335.4,FR,ITU Region 1 / CEPT,AERONAUTICAL RADIONAVIGATION (ILS Glide Path),Allocated,"ILS Glide Path for French airports (CDG, Orly, Lyon, Nice, Marseille, Toulouse, etc.)","Thales TLS 420/430 Glide Slope transmitters (Thales is a major French manufacturer), Indra Navia NORMARC",AM DSB 90/150 Hz (ICAO standard),Per ICAO Annex 10 standards,50,"ANFR TNRBF, DGAC (Direction Generale de l'Aviation Civile), ICAO Annex 10",Same worldwide ILS standard. France has extensive ILS infrastructure at major airports. Thales (French company) is one of the world's largest ILS equipment manufacturers.,True,
328.6,335.4,UK,ITU Region 1 / CEPT,AERONAUTICAL RADIONAVIGATION (ILS Glide Path),Allocated,"ILS Glide Path for UK airports (Heathrow, Gatwick, Stansted, Manchester, Edinburgh, etc.)","Thales TLS 420/430, Indra Navia NORMARC, Collins Aerospace equipment",AM DSB 90/150 Hz (ICAO standard),Per ICAO Annex 10,50,"Ofcom UKPFA, CAA (Civil Aviation Authority), ICAO Annex 10",Heathrow has Cat III ILS on multiple runways. NATS (National Air Traffic Services) operates the ILS infrastructure.,True,
328.6,335.4,DE,ITU Region 1 / CEPT,AERONAUTICAL RADIONAVIGATION (ILS Glide Path),Allocated,"ILS Glide Path for German airports (Frankfurt, Munich, Berlin, Dusseldorf, Hamburg, etc.)","Thales TLS 420/430, Indra Navia NORMARC",AM DSB 90/150 Hz (ICAO standard),Per ICAO Annex 10,50,"BNetzA Frequenzplan, DFS (Deutsche Flugsicherung), ICAO Annex 10",Frankfurt Airport has multiple Cat III ILS systems. DFS operates ILS infrastructure in Germany.,True,
328.6,335.4,CN,ITU Region 3,AERONAUTICAL RADIONAVIGATION (ILS Glide Path),Allocated,"ILS Glide Path for Chinese airports (Beijing Capital/Daxing, Shanghai Pudong/Hongqiao, Guangzhou Baiyun, etc.)","Thales TLS series, CAAC-approved ILS equipment",AM DSB 90/150 Hz (ICAO standard),Per ICAO Annex 10,50,"CAAC (Civil Aviation Administration of China), MIIT, ICAO Annex 10",China has massively expanded ILS infrastructure with airport construction boom. Same ICAO worldwide standard.,True,
328.6,335.4,RU,ITU Region 1,AERONAUTICAL RADIONAVIGATION (ILS Glide Path),Allocated,"ILS Glide Path for Russian airports (Sheremetyevo, Domodedovo, Pulkovo, etc.)","Various ILS equipment (Thales, Indra, Russian-manufactured)",AM DSB 90/150 Hz (ICAO standard),Per ICAO Annex 10,50,"GRFC Table, Rosaviatsiya (Federal Air Transport Agency), ICAO Annex 10",Russia uses ICAO-standard ILS at major airports. Some airports still use older Soviet-era systems being upgraded.,True,
